scenario_id,filename,metric,mean,std,min,max,sample_count
5,listed_metrics_scenario_5.json,goodput_bytes_per_second,79.47892014216195,12.306874892350232,40.272623033543454,119.61162821972394,1053
5,listed_metrics_scenario_5.json,latency,267.6544064574319,43.025576014294145,173.54499983787537,515.4370000362396,1053
6,listed_metrics_scenario_6.json,C2_file_count,2.933728981206726,0.7288671813576518,0.0,4.0,1011
6,listed_metrics_scenario_6.json,C2_time_elapsed,193.1281494436349,2.0803862304362486,186.38999199867249,200.20988416671753,1011
6,listed_metrics_scenario_6.json,C8_file_count,2.9540918163672654,0.7715522863826352,0.0,5.0,1002
6,listed_metrics_scenario_6.json,C8_time_elapsed,195.7102162012321,16.795771868236816,148.45265793800354,250.58689212799072,1002
6,listed_metrics_scenario_6.json,MA1_file_count,0.35073891625615766,0.48562871855037115,0.0,2.0,1015
6,listed_metrics_scenario_6.json,MA1_time_elapsed,43.78697879608042,2.969300773707514,42.883983850479126,92.94096899032593,1015
6,listed_metrics_scenario_6.json,goodput_bytes_per_second,98.01222067283875,15.536976555667268,45.26411477125417,158.2219457542547,1015
6,listed_metrics_scenario_6.json,latency,287.8459704446088,48.575054073301345,173.71800017356873,607.2360000610352,1015
7,listed_metrics_scenario_7.json,C2_file_count,2.1745098039215685,0.6472840934602626,0.0,4.0,1020
7,listed_metrics_scenario_7.json,C2_time_elapsed,75.96660262977376,7.740844606554117,52.624780893325806,98.28790807723999,1020
7,listed_metrics_scenario_7.json,C8_file_count,1.8245098039215686,0.7140722447059762,0.0,4.0,1020
7,listed_metrics_scenario_7.json,C8_time_elapsed,65.8716965563157,9.63353235364467,36.7714900970459,96.53161692619324,1020
7,listed_metrics_scenario_7.json,MA1_file_count,1.452054794520548,0.6468114250085215,0.0,4.0,1022
7,listed_metrics_scenario_7.json,MA1_time_elapsed,55.22595415399966,10.14045807954567,23.48939800262451,93.2898428440094,1022
7,listed_metrics_scenario_7.json,goodput_bytes_per_second,52.76543075536246,8.131984330525395,26.774534962630312,115.53525809574286,1022
7,listed_metrics_scenario_7.json,latency,144.5406516599095,20.962243213803823,64.59500002861023,278.7349998950958,1022
8,listed_metrics_scenario_8.json,C2_file_count,3.27734375,0.691545349687558,0.0,5.0,1024
8,listed_metrics_scenario_8.json,C2_time_elapsed,120.42888666712679,9.396657489156082,94.7781720161438,151.39515495300293,1024
8,listed_metrics_scenario_8.json,C8_file_count,4.582514734774067,0.8341110013158938,2.0,7.0,1018
8,listed_metrics_scenario_8.json,C8_time_elapsed,163.34329605336742,13.285200736737046,121.84010004997253,214.29020404815674,1018
8,listed_metrics_scenario_8.json,MA1_file_count,2.2195845697329375,1.0289147534276477,0.0,7.0,1011
8,listed_metrics_scenario_8.json,MA1_time_elapsed,84.43797969370048,29.259634908978484,23.140281915664673,233.3565058708191,1011
8,listed_metrics_scenario_8.json,goodput_bytes_per_second,155.3887547862303,18.342817636117363,99.04023287536478,227.88030974242145,1024
8,listed_metrics_scenario_8.json,latency,223.85237500001676,26.716323864760213,150.5220000743866,346.33399987220764,1024
9,listed_metrics_scenario_9.json,C2_file_count,4.066541705716963,0.6670167818955502,0.0,6.0,1067
9,listed_metrics_scenario_9.json,C2_time_elapsed,145.9275807326602,1.9241820743006879,140.40255212783813,151.7343351840973,1067
9,listed_metrics_scenario_9.json,C8_file_count,3.660731021555764,0.7216724307996999,0.0,6.0,1067
9,listed_metrics_scenario_9.json,C8_time_elapsed,130.73376199968976,11.431985443789028,99.80380606651306,165.38633394241333,1067
9,listed_metrics_scenario_9.json,MA1_file_count,0.9240862230552952,0.37115885665548604,0.0,2.0,1067
9,listed_metrics_scenario_9.json,MA1_time_elapsed,43.63202106382876,1.8571775116260363,42.87720799446106,73.60507607460022,1067
9,listed_metrics_scenario_9.json,goodput_bytes_per_second,178.55742383596285,22.053553195996827,85.17017672308744,259.7653261464323,1067
9,listed_metrics_scenario_9.json,latency,221.98953326952827,28.234283118605696,150.25099992752075,458.2589998245239,1067
10,listed_metrics_scenario_10.json,C2_file_count,2.329827915869981,0.8972095865120086,0.0,4.0,1046
10,listed_metrics_scenario_10.json,C2_time_elapsed,104.4623630972255,9.177755613859572,77.69473719596863,130.43814516067505,1046
10,listed_metrics_scenario_10.json,C8_file_count,1.7872137404580153,0.8922614691039307,0.0,4.0,1048
10,listed_metrics_scenario_10.json,C8_time_elapsed,83.12381192859803,10.749606057087544,52.63910222053528,122.21251511573792,1048
10,listed_metrics_scenario_10.json,MA1_file_count,0.7709923664122137,0.6000940454303525,0.0,3.0,1048
10,listed_metrics_scenario_10.json,MA1_time_elapsed,46.15046906585002,5.86590004882581,32.26906394958496,73.49869990348816,1048
10,listed_metrics_scenario_10.json,goodput_bytes_per_second,36.794088174270534,8.70273230624546,16.874630410778256,66.46331351516605,1048
10,listed_metrics_scenario_10.json,latency,195.97947996104037,47.10052570274441,102.61300015449524,404.1569998264313,1048
11,listed_metrics_scenario_11.json,C2_file_count,2.249759846301633,0.8831012007308585,0.0,5.0,1041
11,listed_metrics_scenario_11.json,C2_time_elapsed,118.72828025295686,9.692964786121724,88.5653760433197,147.46665978431702,1041
11,listed_metrics_scenario_11.json,C8_file_count,2.471042471042471,0.8988082684913826,0.0,5.0,1036
11,listed_metrics_scenario_11.json,C8_time_elapsed,129.25072368392614,11.599344246331322,97.47909307479858,166.26489996910095,1036
11,listed_metrics_scenario_11.json,MA1_file_count,0.77447216890595,0.6456839337169765,0.0,3.0,1042
11,listed_metrics_scenario_11.json,MA1_time_elapsed,53.3168161851202,12.34830829197943,22.963292121887207,93.86491918563843,1042
11,listed_metrics_scenario_11.json,goodput_bytes_per_second,103.39136041143176,23.88551742901391,48.794394186923725,186.49395259958743,1042
11,listed_metrics_scenario_11.json,latency,234.6239692881103,54.11811427199106,123.44099998474121,471.7960000038147,1042
12,listed_metrics_scenario_12.json,C2_file_count,1.2883675464320625,0.8802750269628596,0.0,4.0,1023
12,listed_metrics_scenario_12.json,C2_time_elapsed,100.69839343693715,1.5134707690043556,95.85584092140198,105.60265398025513,1023
12,listed_metrics_scenario_12.json,C8_file_count,1.2531769305962854,0.8899455638575364,0.0,4.0,1023
12,listed_metrics_scenario_12.json,C8_time_elapsed,98.91188014124612,9.47490797464213,65.38661623001099,132.1600399017334,1023
12,listed_metrics_scenario_12.json,MA1_file_count,0.23069403714565004,0.463497517112549,0.0,3.0,1023
12,listed_metrics_scenario_12.json,MA1_time_elapsed,46.27360059602053,9.311131836157346,42.89861488342285,123.86435008049011,1023
12,listed_metrics_scenario_12.json,goodput_bytes_per_second,109.35767546322126,25.56883304945006,49.25574798564004,200.62006842781852,1023
12,listed_metrics_scenario_12.json,latency,255.66235972686013,61.166136918893855,131.92099976539612,537.3180000782013,1023
